TreeID,StandID,Plot,Tag,PrevPSPTag,PrevHOM,PrevDBH,PrevMS,PrevRT,PrevLA,Species,PrevStatus,PrevComments,gx,gy,PrevMainStem,PrevMulti,CrownScorch,CharUp,CharSide1,CharSide2,CharDown,PrevYear
200592,RS31,0000,200592,,137,1,,,,TSHE,1,,4.846,7.54,200592,N,,,,,,
100897,RS31,0000,100897,,137,7.4,,,,TSHE,1,,22.749,22.304,100897,N,,,,,,
101413,RS31,0009,101413,,137,3,,,,RHMA,1,,24.536,240.614,101413,N,,,,,,
100813,RS31,0003,100813,,137,66.1,,,,PSME,1,,20.997,82.662,100813,N,,,,,,
200179,RS31,0005,200179,,137,22.8,,,,PSME,1,,19.964,129.391,200179,N,,,,,,
100088,RS31,0000,100088,,137,29.9,,,,TSHE,1,WB,16.629,0.987,100088,N,,,,,,
100939,RS31,0008,100939,,137,1.8,,,,RHMA,1,,11.992,220.163,100939,N,,,,,,
200517,RS31,0001,200517,,137,3.5,,,,TSHE,1,,4.895,34.375,200517,N,,,,,,
200658,RS31,0000,200658,,137,2.4,,,,TSHE,1,,1.028,6.036,200658,N,,,,,,
501050,RS31,0000,501050,,137,1.2,,,,VAPA,1,,7.402,2.111,501050,N,,,,,,
100822,RS31,0002,100822,,137,34.3,,,,TSHE,1,,13.537,72.352,100822,N,,,,,,
200698,RS31,0000,200698,,137,3,,,,TSHE,1,,5.424,4.466,200698,N,,,,,,
1600608,RS31,0000,1600608,,137,1.3,,,,TSHE,1,,0.913,10.633,1600608,N,,,,,,
200390,RS31,0005,200390,,137,1.9,,,,ACMA,1,DEAD LEADER,12.138,148.268,200388,Y,,,,,,
200578,RS31,0000,200578,,137,3.7,,,,THPL,1,,2.778,8.789,200578,N,,,,,,
100962,RS31,0008,100962,,137,5.2,,,,TSHE,1,,21.009,211.581,100962,N,,,,,,
100095,RS31,0004,100095,,137,1.7,,,,VAPA,1,,4.118,116.129,100095,Y,,,,,,
500719,RS31,0000,500719,,137,1.1,,,,TSHE,1,NURSE,4.468,6.539,500719,N,,,,,,
200669,RS31,0000,200669,,137,3.3,,,,TSHE,1,,0.325,3.983,200669,N,,,,,,
100362,RS31,0009,100362,,137,3,,,,RHMA,1,,10.738,244.946,100362,Y,,,,,,
101380,RS31,0002,101380,,137,33,,,,TSHE,1,,4.284,64.574,101380,Y,,,,,,
100832,RS31,0002,100832,,137,28.8,,,,TSHE,1,,15.24,62.976,100832,N,,,,,,
100100,RS31,0004,100100,,137,1.3,,,,COCOC,1,,1.959,112.948,100099,Y,,,,,,
301200,RS31,0000,301200,,137,1.2,,,,TSHE,1,,5.453,2.548,301199,Y,,,,,,
100960,RS31,0008,100960,,137,2.6,,,,RHMA,1,,22.289,212.693,100960,Y,,,,,,
301194,RS31,0000,301194,,137,1.3,,,,TSHE,1,NURSE,4.881,3.059,301194,N,,,,,,
101161,RS31,0000,101161,,137,1,,,,RHMA,1,,6.183,16.471,101161,N,,,,,,
100332,RS31,0009,100332,,137,1.2,,,,RHMA,1,,6.015,248.469,100332,N,,,,,,
301198,RS31,0000,301198,,137,3.2,,,,TSHE,1,,5.382,2.364,301198,N,,,,,,
